geometry,category
POINT (35.08388889 32.92833333),Cultural
POINT (34.78333333 32.06666667),Cultural
POINT (35.16083 30.54111),Cultural
POINT (35.18222 32.59722),Cultural
POINT (34.9716488888 32.8293966667),Cultural
POINT (34.8955555556 31.6),Cultural
POINT (34.9652777778 32.67),Cultural
POINT (35.1269444444 32.7022222222),Cultural
POINT (9.170500000000001 45.46588889),Cultural
POINT (10.29733333 45.95705556),Cultural
POINT (11.25611 43.77306),Cultural
POINT (11.3041666667 43.8577777778),Cultural
POINT (12.33894444 45.43430556),Cultural
POINT (10.39638889 43.72305556),Cultural
POINT (16.27094444 41.08480556),Cultural
POINT (14.32639 41.07333),Cultural
POINT (11.04167 43.46806),Cultural
POINT (16.61027778 40.66638889),Cultural
POINT (11.54944444 45.54916667),Cultural
POINT (11.33166667 43.31861111),Cultural
POINT (14.26277778 40.85138889),Cultural
POINT (11.61944444 44.83777778),Cultural
POINT (17.23694 40.7825),Cultural
POINT (12.19625 44.42041667),Cultural
POINT (11.67861111 43.07694444),Cultural
POINT (10.99388889 45.43861111),Cultural
POINT (-76.5711111111 18.0775),Mixed
POINT (7.68572 45.07253),Cultural
POINT (11.88066667 45.39911111),Cultural
POINT (13.3675 45.76833333),Cultural
POINT (9.72917 44.10694),Cultural
POINT (10.92568 44.64624),Cultural
POINT (135.7333333 34.61666667),Cultural
POINT (12.63333 43.725),Cultural
POINT (14.48333333 40.75),Cultural
POINT (14.6 40.65),Cultural
POINT (13.59333333 37.28972222),Cultural
POINT (14.33417 37.36611),Cultural
POINT (134.7 34.83333333),Cultural
POINT (8.991388889 39.70583333),Cultural
POINT (15.26666667 40.28333333),Cultural
POINT (12.77197222 41.94416667),Cultural
POINT (14.94558333 38.48786111),Natural
POINT (12.62244444 43.06616667),Cultural
POINT (130.5333333 30.33333333),Natural
POINT (15.06891667 36.89319444),Cultural
POINT (12.79625 41.96391667),Cultural
POINT (11.55 43.06666667),Cultural
POINT (9.169555556000001 45.97455556),Cultural
POINT (12.10188889 42.00683333),Cultural
POINT (140.13 40.47),Natural
POINT (15.29306 37.05944),Cultural
POINT (8.9311111111 44.4122222222),Cultural
POINT (12.1630555556 46.6130555556),Natural
POINT (10.7944444444 45.1594444444),Cultural
POINT (13.4330555556 46.0941666667),Cultural
POINT (7.9636111111 44.6086111111),Cultural
POINT (14.9966666667 37.7561111111),Natural
POINT (13.3530555556 38.1108333333),Cultural
POINT (135.7694444 34.98055556),Cultural
POINT (136.8833333 36.4),Cultural
POINT (132.45 34.38333333),Cultural
POINT (132.3246389 34.29441667),Cultural
POINT (135.8394444 34.67555556),Cultural
POINT (139.6105556 36.7475),Cultural
POINT (127.6827778 26.20861111),Cultural
POINT (135.7763889 33.83694444),Cultural
POINT (144.96583 43.94944),Natural
POINT (132.435 35.1127777777),Cultural
POINT (141.107777778 39.0011111111),Cultural
POINT (142.099722222 27.7183333333),Natural
POINT (138.7275 35.3608333333),Cultural
POINT (138.887777778 36.2552777778),Cultural
POINT (131.412222222 34.4305555556),Cultural
POINT (130.105555556 34.245),Cultural
POINT (35.21666667 31.78333333),Cultural
POINT (35.44333 30.33056),Cultural
POINT (36.58583 31.80194),Cultural
POINT (35.92056 31.50167),Cultural
POINT (35.4338888889 29.6397222222),Mixed
POINT (35.5527777778 31.8372222222),Cultural
POINT (69.1888888889 50.4333333333),Natural
POINT (68.27444444 43.29305556),Cultural
POINT (75.535 43.80333333),Cultural
POINT (37.3155555556 -0.155),Natural
POINT (36.50366667 3.051305556),Natural
POINT (14.29306 32.63833),Cultural
POINT (40.8525 -2.284444444),Cultural
POINT (36.24 -0.4425),Natural
POINT (39.5961111111 -3.9319444444),Cultural
POINT (39.6794444444 -4.0627777778),Cultural
POINT (-172.8575 -3.6497222222),Natural
POINT (72.78277777780001 40.5311111111),Cultural
POINT (102.13333 19.88889),Cultural
POINT (12.485 32.80528),Cultural
POINT (105.822222222 14.8483333333),Cultural
POINT (24.11667 56.95417),Cultural
POINT (35.92972 33.72583),Cultural
POINT (36.20494 34.00707),Cultural
POINT (35.6475 34.11917),Cultural
POINT (36.04889 34.24333),Cultural
POINT (21.85833 32.825),Cultural
POINT (10.33333 24.83333),Cultural
POINT (9.5 30.13333333),Cultural
POINT (25.29306 54.68667),Cultural
POINT (24.83055556 54.88777778),Cultural
POINT (6.13333 49.61),Cultural
POINT (44.75 -18.66667),Natural
POINT (47.56278 -18.75917),Cultural
POINT (49.7025 -14.4597222222),Natural
POINT (34.88333 -14.03333),Natural
POINT (34.2791666666 -14.2933333333),Cultural
